image_name, feature_id, x, y
IMG_1289,T1,1382.2150,567.4320
IMG_1289,T2,5871.2173,552.5900
IMG_1289,T4,5391.5210,871.3490
IMG_1289,F5,74.3545,3624.7961
IMG_1289,F2,1007.1367,3858.9214
IMG_1289,12,3549.5051,2187.6667
IMG_1289,13,2656.4519,2852.9426
IMG_1289,15,2920.3989,2824.7622
IMG_1289,16,2962.3040,3397.8645
IMG_1289,17,4193.6655,2846.9600
IMG_1289,19,5158.6987,1651.2991
IMG_1289,F3,5084.8096,2295.2078
IMG_1289,F4,3760.9534,3241.9453
IMG_1289,11,4433.8945,1496.8832
IMG_2814,T2,1824.4895,1351.7229
IMG_2814,T3,3201.3376,1128.3688
IMG_2814,T4,1369.1932,1612.9691
IMG_2814,F5,2890.5928,3414.1284
IMG_2814,F2,4006.6104,3543.7073
IMG_2814,12,3431.5996,1889.2802
IMG_2814,13,3238.0051,2511.5828
IMG_2814,15,3535.5254,2445.1379
IMG_2814,16,4326.1055,2905.6792
IMG_2814,17,4764.9155,2313.2678
IMG_2814,19,3293.1609,1724.8287
IMG_2814,F3,5053.1665,1832.2039
IMG_2814,F4,5837.9775,2405.8794
IMG_2814,11,2264.8340,1709.5579
